Date,Open,High,Low,Close,Volume,TotalVolume,EMA,VP,TotalVP,VWAP,EMA>VWAP
2017-03-08 08:55:00,245.85,245.96,245.75,245.88,400.0,2935424.0,246.447799525,98345.3333333,736150530.208,250.78166909,-1.0
2017-03-08 09:00:00,245.76,245.9,245.76,245.9,200.0,2935624.0,246.33823962,49170.6666667,736199700.874,250.78133333,-1.0
2017-03-08 09:05:00,246.0,246.8,245.98,246.44,2897.0,2938521.0,246.358591696,713840.113333,736913540.988,250.777020477,-1.0
2017-03-08 09:10:00,246.49,246.6,246.3,246.3,2280.0,2940801.0,246.346873357,561792.0,737475332.988,250.773626977,-1.0
2017-03-08 09:15:00,246.24,246.26,246.01,246.26,400.0,2941201.0,246.329498685,98470.6666667,737573803.654,250.773001796,-1.0
2017-03-08 09:20:00,246.88,247.0,246.79,247.0,2200.0,2943401.0,246.463598948,543246.0,738117049.654,250.770129403,-1.0
2017-03-08 09:25:00,246.51,247.0,246.4,246.98,2013.0,2945414.0,246.566879159,496794.98,738613844.634,250.76741152,-1.0
2017-03-08 09:30:00,246.89,246.89,246.4,246.82,600.0,2946014.0,246.617503327,148022.0,738761866.634,250.766583809,-1.0
2017-03-08 09:35:00,246.92,248.5,245.4,245.67,212697.0,212697.0,246.361111111,52434773.43,52434773.43,246.523333333,-1.0
2017-03-08 09:40:00,245.755,246.99,245.32,246.4,128569.0,341266.0,246.368888889,31658401.9967,84093175.4267,246.415334158,-1.0
2017-03-08 09:45:00,246.5196,248.59,246.49,248.372,135559.0,476825.0,246.769511111,33593869.8893,117687045.316,246.813915621,-1.0
2017-03-08 09:50:00,248.45,249.3,248.19,248.879,61185.0,538010.0,247.191408889,15222195.755,132909241.071,247.038607221,1.0
2017-03-08 09:55:00,248.73,248.88,248.32,248.6,32800.0,570810.0,247.473127111,8154080.0,141063321.071,247.12832829,1.0
2017-03-08 10:00:00,248.52,248.53,247.9,248.091,48271.0,619081.0,247.596701689,11979591.0637,153042912.135,247.209835441,1.0
2017-03-08 10:05:00,248.128,249.22,248.128,249.0,58042.0,677123.0,247.877361351,14439843.5387,167482755.673,247.344656249,1.0
2017-03-08 10:10:00,248.9978,249.1899,248.37,248.57,40171.0,717294.0,248.015889081,9990928.07097,177473683.744,247.42111846,1.0
2017-03-08 10:15:00,248.46,248.54,247.35,247.5491,61746.0,779040.0,247.922531265,15301463.5562,192775147.3,247.452181275,1.0
2017-03-08 10:20:00,247.56,248.3,247.56,247.915,73835.0,852875.0,247.921025012,18305542.375,211080689.675,247.493114085,1.0
2017-03-08 10:25:00,247.81,248.07,247.41,247.6,40831.0,893706.0,247.856820009,10113566.4933,221194256.169,247.502261559,1.0
2017-03-08 10:30:00,247.6,248.79,247.6,248.61,52861.0,946567.0,248.007456008,13127148.3333,234321404.502,247.548672732,1.0
2017-03-08 10:35:00,248.8,249.25,248.53,248.86,63481.0,1010048.0,248.177964806,15799151.28,250120555.782,247.63234597,1.0
2017-03-08 10:40:00,248.94,249.78,248.602,249.38,61445.0,1071493.0,248.418371845,15315412.03,265435967.812,247.725340074,1.0
2017-03-08 10:45:00,249.22,249.63,249.1801,249.36,33646.0,1105139.0,248.606697476,8390977.06153,273826944.874,247.776021726,1.0
2017-03-08 10:50:00,249.45,249.63,249.25,249.36,25150.0,1130289.0,248.757357981,6272745.33333,280099690.207,247.812453458,1.0
2017-03-08 10:55:00,249.23,249.25,248.81,249.2241,66772.0,1197061.0,248.850706385,16632551.3084,296732241.515,247.883977103,1.0
2017-03-08 11:00:00,249.1752,249.51,249.0,249.35,18380.0,1215441.0,248.950565108,4581888.93333,301314130.449,247.905188692,1.0
2017-03-08 11:05:00,249.33,249.75,249.17,249.72,55523.0,1270964.0,249.104452086,13855579.5733,315169710.022,247.976897868,1.0
2017-03-08 11:10:00,249.7476,250.07,249.2988,249.512,81623.0,1352587.0,249.185961669,20375299.1795,335545009.202,248.076470646,1.0
2017-03-08 11:15:00,249.38,249.6,249.28,249.44,21895.0,1374482.0,249.236769335,5461488.8,341006498.002,248.098191174,1.0
2017-03-08 11:20:00,249.45,249.475,248.85,249.0652,46025.0,1420507.0,249.202455468,11466211.3183,352472709.32,248.131624357,1.0
2017-03-08 11:25:00,249.05,249.38,249.0,249.15,28325.0,1448832.0,249.191964374,7057929.08333,359530638.403,248.152055175,1.0
2017-03-08 11:30:00,249.29,249.29,248.65,248.7094,34773.0,1483605.0,249.0954515,8654413.1954,368185051.599,248.169190316,1.0
2017-03-08 11:35:00,248.5332,248.77,248.084,248.2563,36759.0,1520364.0,248.9276212,9129836.5059,377314888.105,248.174047863,1.0
2017-03-08 11:40:00,248.26,248.7713,248.22,248.67,35940.0,1556304.0,248.87609696,8933022.374,386247910.479,248.182816775,1.0
2017-03-08 11:45:00,248.74,248.81,248.303,248.3493,15778.0,1572082.0,248.770737568,3920634.72313,390168545.202,248.18587402,1.0
2017-03-08 11:50:00,248.31,248.31,247.61,247.95,39831.0,1611913.0,248.606590054,9876361.99,400044907.192,248.180210217,1.0
2017-03-08 11:55:00,247.84,248.33,247.74,248.2,39128.0,1651041.0,248.525272043,9707265.52,409752172.712,248.178072326,1.0
2017-03-08 12:00:00,248.27,248.75,248.12,248.7,32811.0,1683852.0,248.560217635,8154299.09,417906471.802,248.184799972,1.0
2017-03-08 12:05:00,248.71,248.75,248.2,248.2999,34989.0,1718841.0,248.508154108,8691849.5837,426598321.385,248.189519208,1.0
2017-03-08 12:10:00,248.24,248.42,248.07,248.1323,9763.0,1728604.0,248.432983286,2423249.17163,429021570.557,248.189620386,1.0
2017-03-08 12:15:00,248.13,248.71,248.13,248.71,29832.0,1758436.0,248.488386629,7413749.2,436435319.757,248.195168751,1.0
2017-03-08 12:20:00,248.74,248.99,248.57,248.58,27361.0,1785797.0,248.506709303,6805045.51333,443240365.27,248.203107783,1.0
2017-03-08 12:25:00,248.59,248.87,248.58,248.62,16764.0,1802561.0,248.529367443,4169039.16,447409404.43,248.20763593,1.0
2017-03-08 12:30:00,248.62,248.74,248.5,248.64,14264.0,1816825.0,248.551493954,3546410.77333,450955815.204,248.210925765,1.0
2017-03-08 12:35:00,248.62,248.78,248.48,248.55,22970.0,1839795.0,248.551195163,5710418.56667,456666233.77,248.215825008,1.0
2017-03-08 12:40:00,248.47,248.95,248.46,248.79,27476.0,1867271.0,248.598956131,6834197.06667,463500430.837,248.223439895,1.0
2017-03-08 12:45:00,248.7912,249.45,248.7912,249.27,28377.0,1895648.0,248.733164904,7070708.4408,470571139.278,248.237615463,1.0
2017-03-08 12:50:00,249.24,249.59,249.11,249.5,33162.0,1928810.0,248.886531924,8270602.8,478841742.078,248.257600322,1.0
2017-03-08 12:55:00,249.48,249.54,249.25,249.3,16792.0,1945602.0,248.969225539,4187309.09333,483029051.171,248.267143625,1.0
2017-03-08 13:00:00,249.3102,249.37,249.08,249.08,12789.0,1958391.0,248.991380431,3186720.39,486215771.561,248.273083139,1.0
2017-03-08 13:05:00,249.04,249.48,249.04,249.47,21103.0,1979494.0,249.087104345,5261610.99,491477382.551,248.284350724,1.0
2017-03-08 13:10:00,249.44,249.69,249.32,249.37,25170.0,2004664.0,249.143683476,6278908.2,497756290.751,248.299111847,1.0
2017-03-08 13:15:00,249.43,249.6,249.325,249.57,29996.0,2034660.0,249.228946781,7483952.00667,505240242.758,248.316791384,1.0
2017-03-08 13:20:00,249.54,249.63,249.46,249.58,16656.0,2051316.0,249.299157425,4156615.84,509396858.598,248.326858757,1.0
2017-03-08 13:25:00,249.52,249.7508,249.111,249.37,16255.0,2067571.0,249.31332594,4054169.303,513451027.901,248.335379003,1.0
2017-03-08 13:30:00,249.36,249.57,249.21,249.35,26576.0,2094147.0,249.320660752,6627434.29333,520078462.194,248.348593577,1.0
2017-03-08 13:35:00,249.35,249.44,249.052,249.25,34955.0,2129102.0,249.306528601,8712440.53667,528790902.731,248.363348835,1.0
2017-03-08 13:40:00,249.18,249.27,248.83,249.08,13702.0,2142804.0,249.261222881,3412620.12,532203522.851,248.367803519,1.0
2017-03-08 13:45:00,249.076,249.31,248.96,249.21,21009.0,2163813.0,249.250978305,5234602.44,537438125.291,248.375495152,1.0
2017-03-08 13:50:00,249.16,249.32,248.94,249.14,19871.0,2183684.0,249.228782644,4950528.46667,542388653.757,248.382391297,1.0
2017-03-08 13:55:00,249.19,249.35,249.08,249.23,22031.0,2205715.0,249.229026115,5490565.82,547879219.577,248.390757454,1.0
2017-03-08 14:00:00,249.2799,249.35,248.98,249.07,11976.0,2217691.0,249.197220892,2983620.8,550862840.377,248.394767521,1.0
2017-03-08 14:05:00,249.0,249.0,248.76,248.9,5163.0,2222854.0,249.137776714,1285001.86,552147842.237,248.39591005,1.0
2017-03-08 14:10:00,248.86,248.89,248.1,248.26,20644.0,2243498.0,248.962221371,5128313.66667,557276155.904,248.396101046,1.0
2017-03-08 14:15:00,248.33,248.56,248.28,248.39,17670.0,2261168.0,248.847777097,4389404.7,561665560.604,248.39620966,1.0
2017-03-08 14:20:00,248.47,248.4773,247.9,247.9,16942.0,2278110.0,248.658221677,4203182.00553,565868742.61,248.393950516,1.0
2017-03-08 14:25:00,247.93,248.02,247.79,247.92,30000.0,2308110.0,248.510577342,7437300.0,573306042.61,248.387660298,1.0
2017-03-08 14:30:00,247.97,248.06,247.7,247.94,30539.0,2338649.0,248.396461874,7570618.1,580876660.71,248.381292237,1.0
2017-03-08 14:35:00,247.96,248.25,247.8444,248.25,57305.0,2395954.0,248.367169499,14218218.614,595094879.324,248.374918435,-1.0
2017-03-08 14:40:00,248.4,248.4,247.8,248.05,19004.0,2414958.0,248.303735599,4714575.66667,599809454.99,248.372623868,-1.0
2017-03-08 14:45:00,248.06,248.3,247.85,247.96,21874.0,2436832.0,248.234988479,5425554.04667,605235009.037,248.369608179,-1.0
2017-03-08 14:50:00,248.04,248.22,247.91,248.17,24703.0,2461535.0,248.221990783,6128814.3,611363823.337,248.366902497,-1.0
2017-03-08 14:55:00,248.15,248.15,247.51,247.69,34343.0,2495878.0,248.115592627,8509623.01667,619873446.354,248.358872651,-1.0
2017-03-08 15:00:00,247.72,247.95,247.61,247.95,19517.0,2515395.0,248.082474101,4837028.22333,624710474.577,248.354820844,-1.0
2017-03-08 15:05:00,247.9,248.13,247.84,247.9909,22254.0,2537649.0,248.064159281,5518701.9562,630229176.533,248.351594934,-1.0
2017-03-08 15:10:00,247.925,247.98,247.77,247.8,22011.0,2559660.0,248.011327425,5455426.35,635684602.883,248.347281625,-1.0
2017-03-08 15:15:00,247.77,248.15,247.77,247.8,16217.0,2575877.0,247.96906194,4020302.41333,639704905.297,248.344507636,-1.0
2017-03-08 15:20:00,247.82,247.93,247.67,247.9,21077.0,2596954.0,247.955249552,5223583.16667,644928488.463,248.340358922,-1.0
2017-03-08 15:25:00,247.87,248.04,247.72,247.88,18217.0,2615171.0,247.940199642,4515629.96,649444118.423,248.337152111,-1.0
2017-03-08 15:30:00,247.82,248.0,247.76,248.0,29113.0,2644284.0,247.952159713,7217694.96,656661813.383,248.332559356,-1.0
2017-03-08 15:35:00,248.0,248.0,247.01,247.3301,61782.0,2706066.0,247.827747771,15287752.0194,671949565.403,248.312334364,-1.0
2017-03-08 15:40:00,247.42,247.67,247.32,247.49,41189.0,2747255.0,247.760198216,10194002.9067,682143568.309,248.300055259,-1.0
2017-03-08 15:45:00,247.5,247.6,246.75,246.97,49807.0,2797062.0,247.602158573,12307641.7467,694451210.056,248.278804709,-1.0
2017-03-08 15:50:00,246.96,247.24,246.68,246.93,70923.0,2867985.0,247.467726859,17514434.85,711965644.906,248.245944419,-1.0
2017-03-08 15:55:00,246.93,246.99,246.57,246.62,101212.0,2969197.0,247.298181487,24971699.3867,736937344.293,248.194156296,-1.0
2017-03-08 16:00:00,246.65,247.065,246.65,246.83,141117.0,3110314.0,247.204545189,34834496.255,771771840.548,248.13309542,-1.0
2017-03-08 16:05:00,246.87,246.87,246.87,246.87,29900.0,3140214.0,247.137636152,7381413.0,779153253.548,248.121068675,-1.0
2017-03-08 16:10:00,246.7,246.7,246.7,246.7,190.0,3140404.0,247.050108921,46873.0,779200126.548,248.120982698,-1.0
2017-03-08 16:15:00,246.7,246.7,246.7,246.7,100.0,3140504.0,246.980087137,24670.0,779224796.548,248.120937451,-1.0
2017-03-08 16:20:00,246.95,246.95,246.95,246.95,200.0,3140704.0,246.97406971,49390.0,779274186.548,248.120862885,-1.0
2017-03-08 16:30:00,247.2,247.2,247.2,247.2,100.0,3140804.0,247.019255768,24720.0,779298906.548,248.120833566,-1.0
2017-03-08 16:50:00,247.99,247.99,247.99,247.99,146.0,3140950.0,247.213404614,36206.54,779335113.088,248.120827485,-1.0
2017-03-08 16:55:00,247.99,247.99,247.99,247.99,689.0,3141639.0,247.368723691,170865.11,779505978.198,248.120798792,-1.0
2017-03-08 17:00:00,246.88,246.88,246.88,246.88,200.0,3141839.0,247.270978953,49376.0,779555354.198,248.120719807,-1.0
2017-03-08 17:05:00,247.0,247.0,247.0,247.0,100.0,3141939.0,247.216783162,24700.0,779580054.198,248.120684137,-1.0
2017-03-08 18:00:00,247.0,247.6,247.0,247.6,250.0,3142189.0,247.29342653,61850.0,779641904.198,248.120626798,-1.0
2017-03-08 18:40:00,247.6,247.6,247.6,247.6,970.0,3143159.0,247.354741224,240172.0,779882076.198,248.120466129,-1.0
